Carimbo de data/hora,curso,semestre,situacao_atual,genero,porque_ibmec,area_interesse,atividades_extracurriculares,motivo_curso,objetivo_profissional,diferencial_ibmec,distancia
12/06/2025 11:14:06,Economia,5° Semestre,Apenas estudando,Feminino,Bolsa de estudos,"Finanças, Consultoria","Iniciação Científica / Projeto de Extensão / Pesquisa Aplicada, Monitoria",Interesse na área," Trabalhar em empresa grande, Seguir carreira acadêmica",A proximidade entre alunos e professores (apesar disso ser por conta da quantidade de alunos na faculdade).,Mais de 20kms?
13/06/2025 11:14:06,Direito,2° Semestre,Apenas estudando,Feminino,Estrutura,"Empreendedorismo, Consultoria","Ligas, Iniciação Científica / Projeto de Extensão / Pesquisa Aplicada, Monitoria, Hackathons",Interesse na área," Trabalhar em empresa grande, Seguir carreira acadêmica","Gosto que é um ensino que foca no aprendizado e de resolver nossas duvidas, também como nos ajuda a nos encaminhar para o mercado privado.",De 15kms até 20kms?
14/06/2025 11:14:06,Economia,5° Semestre,Estagiando,Feminino,Bolsa de estudos,"Finanças, Empreendedorismo","Ligas, Hackathons",Oportunidades de carreira, Trabalhar em empresa grande,Proximidade com professores e nome de qualidade ,Até 5kms?
15/06/2025 11:14:06,Economia,6° Semestre,Estagiando,Masculino,Qualidade do ensino,"Finanças, Empreendedorismo, Consultoria, Marketing","Iniciação Científica / Projeto de Extensão / Pesquisa Aplicada, Monitoria, Hackathons",Interesse na área," Trabalhar em empresa grande, Empreender / Criar uma startup, Trabalhar em empresa familiar",Qualidade de ensino em finanças e econometria ( infelizmente não atendeu as expectativas),De 5kms até 10kms?
16/06/2025 11:14:06,Admnistração,1° Semestre,Empreendendo,Masculino,Bolsa de estudos,"Tecnologia, Empreendedorismo, Marketing","Empresa júnior, Ligas, Monitoria, Hackathons",Interesse na área,Empreender / Criar uma startup,Qualidade da rede Ibmec,De 15kms até 20kms?
12/06/2025 11:28:16,Direito,1° Semestre,Apenas estudando,Feminino,Qualidade do ensino,Marketing,Ligas,Interesse na área, Trabalhar em empresa grande,,De 15kms até 20kms?
12/06/2025 11:37:11,Economia,1° Semestre,Apenas estudando,Masculino,Empregabilidade ,"Finanças, Tecnologia","Empresa júnior, Ligas, Iniciação Científica / Projeto de Extensão / Pesquisa Aplicada",Interesse na área, Trabalhar em empresa grande,Ensino de qualidade e empregabilidade excepcional ,Até 5kms?
12/06/2025 12:03:16,Economia,1° Semestre,Apenas estudando,Masculino,Qualidade do ensino,"Finanças, Tecnologia, Empreendedorismo, Consultoria","Empresa júnior, Ligas, Hackathons",Interesse na área," Trabalhar em empresa grande, Empreender / Criar uma startup",Excelência ,De 5kms até 10kms?
12/06/2025 12:05:48,Direito,1° Semestre,Apenas estudando,Feminino,Empregabilidade ,Finanças,"Ligas, Iniciação Científica / Projeto de Extensão / Pesquisa Aplicada, Monitoria",Vocação / facilidade com as matérias,Seguir carreira acadêmica,,Mais de 20kms?
12/06/2025 13:30:12,Admnistração,1° Semestre,Apenas estudando,Masculino,Estrutura,Finanças,Ligas,Interesse na área, Trabalhar em empresa grande,Busca da excelência por parte de todos os envolvidos.,Mais de 20kms?
12/06/2025 13:47:46,Economia,3° Semestre,Estagiando,Masculino,Qualidade do ensino,"Empreendedorismo, Consultoria","Empresa júnior, Iniciação Científica / Projeto de Extensão / Pesquisa Aplicada",Vocação / facilidade com as matérias," Trabalhar em empresa grande, Empreender / Criar uma startup",Professores com qualidade técnica muito acima da média e o nome da faculdade dentro da área.,Mais de 20kms?
13/06/2025 11:33:52,Direito,3° Semestre,Estagiando,Masculino,Networking / Indicação ,Empreendedorismo,Iniciação Científica / Projeto de Extensão / Pesquisa Aplicada,Interesse na área, Trabalhar em empresa grande,Ensino voltado para o mercado real ,De 5kms até 10kms?
13/06/2025 11:34:01,Economia,1° Semestre,Apenas estudando,Masculino,Qualidade do ensino,"Finanças, Empreendedorismo","Empresa júnior, Ligas, Iniciação Científica / Projeto de Extensão / Pesquisa Aplicada, Monitoria, Hackathons",Interesse na área," Trabalhar em empresa grande, Empreender / Criar uma startup","A grade curricular focada na prática de exercícios e atividades importantes para o mercado de trabalho, principalmente dentro do mercado financeiro, minha área de interesse.",De 10kms até 15kms?
13/06/2025 11:34:17,Admnistração,5° Semestre,Efetivado (contrato CLT ou equivalente),Feminino,Qualidade do ensino,Empreendedorismo,"Ligas, Monitoria",Oportunidades de carreira,Empreender / Criar uma startup,A proximidade com o aluno,De 15kms até 20kms?
13/06/2025 11:36:12,Economia,3° Semestre,Estagiando,Feminino,Qualidade do ensino,"Finanças, Empreendedorismo, Consultoria","Empresa júnior, Ligas, Iniciação Científica / Projeto de Extensão / Pesquisa Aplicada",Interesse na área,Trabalhar em empresa familiar,Canal aberto com professores e oportunidades,De 15kms até 20kms?
13/06/2025 11:37:05,Direito,1° Semestre,Estagiando,Feminino,Qualidade do ensino,"Finanças, Empreendedorismo",Ligas,Interesse na área, Trabalhar em empresa grande,,De 5kms até 10kms?
13/06/2025 11:39:39,Admnistração,1° Semestre,Apenas estudando,Feminino,Networking / Indicação ,"Empreendedorismo, Consultoria","Empresa júnior, Ligas, Monitoria, Hackathons",Interesse na área," Trabalhar em empresa grande, Empreender / Criar uma startup, Trabalhar em empresa familiar","Aplicações das disciplinas voltadas à prática, contraturnos e eventos diferenciados. ",De 10kms até 15kms?
13/06/2025 11:40:13,Direito,3° Semestre,Estagiando,Masculino,Qualidade do ensino,Consultoria,Iniciação Científica / Projeto de Extensão / Pesquisa Aplicada,Vocação / facilidade com as matérias,Trabalhar no setor público,Qualidade de ensino ,De 15kms até 20kms?
13/06/2025 11:45:27,Economia,5° Semestre,Apenas estudando,Masculino,Bolsa de estudos,"Finanças, Consultoria","Empresa júnior, Ligas, Iniciação Científica / Projeto de Extensão / Pesquisa Aplicada, Monitoria",Vocação / facilidade com as matérias," Trabalhar em empresa grande, Seguir carreira acadêmica, Trabalhar no setor público","Ela é mt bom em vários setores. daria nota 8 para as seguintes assuntos:Networking, qualidade de ensino, aplicabilidade, entre outros. (O diferencial é que ela é muito bom em várias coisas e não foca só em uma questão)",De 10kms até 15kms?
13/06/2025 12:09:26,Admnistração,5° Semestre,Estagiando,Masculino,Empregabilidade ,"Finanças, Empreendedorismo",Ligas,Oportunidades de carreira," Trabalhar em empresa grande, Empreender / Criar uma startup",Cultura,Mais de 20kms?
14/06/2025 19:55:15,Economia,1° Semestre,Apenas estudando,Masculino,Qualidade do ensino,"Finanças, Consultoria","Empresa júnior, Ligas, Iniciação Científica / Projeto de Extensão / Pesquisa Aplicada, Hackathons",Interesse na área, Trabalhar em empresa grande,Networking e comunidade próxima.,De 15kms até 20kms?
14/06/2025 19:57:29,Economia,1° Semestre,Apenas estudando,Masculino,Qualidade do ensino,Finanças,"Empresa júnior, Ligas, Monitoria, Hackathons",Interesse na área, Trabalhar em empresa grande,Setor Casa e Carreiras!,De 5kms até 10kms?
14/06/2025 20:02:45,Ciência de Dados e Inteligência Artificial,1° Semestre,Apenas estudando,Masculino,Networking / Indicação ,Tecnologia,Iniciação Científica / Projeto de Extensão / Pesquisa Aplicada,Interesse na área, Trabalhar em empresa grande,Networking,De 15kms até 20kms?
14/06/2025 20:03:53,Admnistração,6° Semestre,Estagiando,Masculino,Networking / Indicação ,"Finanças, Empreendedorismo, Marketing","Ligas, Iniciação Científica / Projeto de Extensão / Pesquisa Aplicada, Monitoria, Hackathons",Interesse na área, Trabalhar em empresa grande,Acolhimento e excelência.,Mais de 20kms?
14/06/2025 20:08:31,Ciência de Dados e Inteligência Artificial,2° Semestre,Apenas estudando,Masculino,Qualidade do ensino,Finanças,Hackathons,Mercado promissor," Trabalhar em empresa grande, Empreender / Criar uma startup",.,Mais de 20kms?
